id,category,rule,scope,exceptions,tier,source
B-008,bass-motion,Any bass tone may be repeated an octave higher or lower (e.g. T 8-3 5).,bass in motion,,elementary,TG item 27F
B-009,bass-motion,"Descending bass: use diatonic motion on p.5 (E7), EIS on all others.",descending bass,,intermediate,TG item 18
B-010,bass-motion,Bass and treble motion may be combined — bass moves and treble changes position simultaneously.,bass+treble,,intermediate,TG item 25
S-001,six-four,The Six-Four is a separate chord with Root in the bass.,six-four chord,,intermediate,TG item 28
S-002,six-four,"Standard Six-Four resolution: 6→5, 4→3 (or the reverse).",six-four chord,,intermediate,TG item 28
S-003,six-four,"In minor, Six-Four resolution may use either 5 or 6.",six-four (minor),,intermediate,TG item 28
S-004,six-four,6 and 4 in the Six-Four are treated as Substitute Tones.,six-four chord,,intermediate,TG item 28
RS-001,resolution,Every chord class has its own resolutions and reverse resolutions.,all chord classes,,elementary,TG Writing
RS-002,resolution,Scales may be mixed across a resolution (e.g. Scale #8 → Scale #9).,resolution,,intermediate,TG Writing p.128
RS-003,resolution,"6 may be substituted for 7 in all 9th, 11th, and 13th chords.",9/11/13 chords,,intermediate,TG Writing
SC-001,scales,"There are 18 scales, each based on the Natural Major scale but with diatonic intervals.",scales,,elementary,TG item 8
SC-002,scales,"Good 4th-chord scales: 1, 3, 4, 7 (and 11, 12 in 4-part); possibly 4+.",4th chords,,intermediate,TG p.152A
SC-003,scales,Scale #10 generates Dominant 7♭9.,dominant 7♭9,,intermediate,TG Writing
OT-001,overtone-series,Overtone-series 1st octave: fundamental and its octave.,vertical spacing,,def,TG item 13
OT-002,overtone-series,Overtone-series 2nd octave: Root and 5th.,vertical spacing,,def,TG item 13
OT-003,overtone-series,"Overtone-series 3rd octave: 1, 3, 5, ♭7 — the Chord Tones.",vertical spacing,,def,TG item 13
OT-004,overtone-series,"Overtone-series 4th octave: 1, 2, 3, 4+, 5, 6, ♭7 — Scale Tones.",vertical spacing,,def,TG item 13
OT-005,overtone-series,"Overtone-series 5th octave: 1, 2, 3, 4+, 5, 6, ♭7 — Scale Tones.",vertical spacing,,def,TG item 13
C-001,chord-class,"Triads (major & minor): close & open voicings, 3 inversions each, with VL / S.V.L. / S.P.",triads,,elementary,TG Writing #1
C-002,chord-class,"Natural 7ths (major & minor): all inversions close/open, resolutions & reverse, C.O.P., NCTs, bass-in-motion, substitute tones (9 for 3).",natural 7ths,,elementary,TG Writing
C-003,chord-class,"4P Natural 9ths (Δ9), m♮9, 6th, m6th: all inversions, resolutions to 7th or 6th chords (and reverse), C.O.P., NCTs; VL ↑, ↓, brackets or parallel.",4P 9ths etc.,,intermediate,TG Writing
C-004,chord-class,"Dominant 7ths: 2P / 3P / 4P. VL variants: normal, brackets, 3↔♭7 with 1→1, 3↔♭7 with 5→5, same-bar R→5 with [ ] on 3,♭7, parallel, S.V.L./S.P.",dominant 7,,intermediate,TG Writing
C-005,chord-class,"Minor 7ths: all VL variants above; also m7♭5, Δ7+, 7♭5; 2P Δ7, mΔ7, 6, m6.",minor 7,,intermediate,TG Writing
C-006,chord-class,Minor 9ths: 3P and 4P; same treatment as minor 7ths.,minor 9,,intermediate,TG Writing
C-007,chord-class,Dominant 7♭9: use Scale #10. All VL variants above apply.,dominant 7♭9,,intermediate,TG Writing
C-008,chord-class,Dominant 9ths: 2P / 3P / 4P. Different 3P voicings → different tones may be added to bass in parallel.,dominant 9,,intermediate,TG Writing
C-009,chord-class,"Dominant 13ths (Types 1 & 2 and 4+): 3P and 4P. Scales: #1, #1 w/4+, #3, #3 w/4+, #7, #7 w/4+, #8, #9, #10, #10 w/4+, #11 Type 2.",dominant 13,,intermediate,TG Writing
C-010,chord-class,"Dominant 13ths constraint: only ♭10 with 11, or 10 with 11+; or 11 for 10.",dominant 13,,intermediate,TG Writing
C-011,chord-class,Dominant 11 and Dominant 11+: 3P and 4P; or 11th from Scale #9 or #10; parallel bass options. For 11+ also 3 in parallel with the bass.,dominant 11,,intermediate,TG Writing
C-012,chord-class,5-part chords are referenced but not fully detailed in Greene's pages.,5-part chords,source cut off in scan,advanced,TG Writing
A-001,advanced,The advanced course introduces quartal (4th-based) harmony.,advanced,,advanced,Web
A-002,advanced,The advanced course introduces quintal (5th-based) harmony.,advanced,,advanced,Web
A-003,advanced,The advanced course introduces secondal (2nd-based) harmony.,advanced,,advanced,Web
A-004,advanced,The advanced course introduces polytonality.,advanced,,advanced,Web
A-005,advanced,The advanced course introduces interval relations across parts.,advanced,,advanced,Web
A-006,advanced,The advanced course introduces music with no chords and no scales.,advanced,,advanced,Web
A-007,advanced,The advanced course introduces 'tropes' — Murphy's version of serialism.,advanced,,advanced,Web
A-008,advanced,"Elementary rules (range, OOD, etc.) progressively relax as the student becomes freer in later books.",advanced,,principle,Web (Sawyer)
W-001,writing-resource,"Triad progressions in all ascending/descending symmetric cycles (close, open, and switching between them) are a first-class composing resource.",composing,,elementary,TG Writing #1
W-002,writing-resource,Use NCTs in combinations or singly as a composing resource.,composing,,elementary,TG Writing #2
W-003,writing-resource,Use Substitute Tones as a composing resource.,composing,,elementary,TG Writing #3
W-004,writing-resource,Six-Four chords with their resolutions and reverse resolutions are a composing resource.,composing,,elementary,TG Writing #4
W-005,writing-resource,Treble C.O.P. (with or without S.P.) across the bar line is a composing resource.,composing,,elementary,TG Writing #5
W-006,writing-resource,Bass in Motion (ascending/descending; regular/free/elision/passing 3rds/5ths/leading tones) is a composing resource.,composing,,elementary,TG Writing #6
W-007,writing-resource,Bass and treble motion combined is a composing resource.,composing,,elementary,TG Writing #7
W-008,writing-resource,"C.O.P. of any one chord connection or progression (ascending, descending, mixed) is a composing resource.",composing,,elementary,TG Writing #8
W-009,writing-resource,Many of the writing resources can and should be combined.,composing,,principle,TG Writing
